2025-08-26 13:50:54,336 - WARNING - watch_tickers failed: Connection closed by remote server, closing code 1006
Traceback (most recent call last):
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/crypto_bot/utils/symbol_pre_filter.py", line 225, in _refresh_tickers
    data = await exchange.watch_tickers(to_fetch)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/venv/lib/python3.11/site-packages/ccxt/pro/kraken.py", line 665, in watch_tickers
    ticker = await self.watch_multi_helper('ticker', 'ticker', symbols, None, params)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/venv/lib/python3.11/site-packages/ccxt/pro/kraken.py", line 1483, in watch_multi_helper
    return await self.watch_multiple(url, messageHashes, request, messageHashes, subscriptionArgs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ccxt.base.errors.NetworkError: Connection closed by remote server, closing code 1006
2025-08-26 13:51:33,782 - INFO - ASTR/EUR: vol=2261.13 chg=1.28% spr=0.10%
2025-08-26 13:51:33,782 - INFO - ASTR/USD: vol=9124.68 chg=1.77% spr=0.08%
2025-08-26 13:51:33,782 - INFO - ATH/EUR: vol=9449.43 chg=2.33% spr=0.11%
2025-08-26 13:51:33,782 - INFO - ATH/USD: vol=69259.82 chg=1.96% spr=0.09%
2025-08-26 13:51:33,782 - INFO - ATLAS/EUR: vol=1582.59 chg=1.14% spr=0.87%
2025-08-26 13:51:33,782 - INFO - ATLAS/USD: vol=947.39 chg=2.30% spr=0.43%
2025-08-26 13:51:33,782 - INFO - ATOM/ETH: vol=2.31 chg=-2.66% spr=0.20%
2025-08-26 13:51:33,782 - INFO - ATOM/EUR: vol=124576.17 chg=2.07% spr=0.05%
2025-08-26 13:51:33,782 - INFO - ATOM/GBP: vol=4154.66 chg=0.34% spr=0.08%
2025-08-26 13:51:33,782 - INFO - ATOM/USD: vol=512344.46 chg=1.82% spr=0.03%
2025-08-26 13:51:33,782 - INFO - ATOM/USDT: vol=241165.07 chg=2.07% spr=0.08%
2025-08-26 13:51:33,782 - INFO - ATOM/BTC: vol=0.15 chg=0.50% spr=0.25%
2025-08-26 13:51:33,782 - INFO - AUCTION/EUR: vol=278.04 chg=1.76% spr=0.24%
2025-08-26 13:51:33,783 - INFO - AUCTION/USD: vol=5824.47 chg=5.25% spr=0.18%
2025-08-26 13:51:33,783 - INFO - AUDIO/EUR: vol=120.85 chg=0.56% spr=0.74%
2025-08-26 13:51:33,783 - INFO - AUDIO/USD: vol=4904.44 chg=1.77% spr=0.47%
2025-08-26 13:51:33,783 - INFO - AUD/JPY: vol=1393.00 chg=0.00% spr=0.26%
2025-08-26 13:51:33,783 - INFO - AUD/USD: vol=1282412.93 chg=0.17% spr=0.04%
2025-08-26 13:51:33,783 - INFO - A/USD: vol=36407.66 chg=2.79% spr=0.33%
2025-08-26 13:51:33,783 - INFO - AVAAI/EUR: vol=302.51 chg=2.11% spr=0.41%
2025-08-26 13:51:33,783 - INFO - AVAAI/USD: vol=1668.28 chg=3.03% spr=0.55%
2025-08-26 13:51:33,783 - INFO - AVAX/EUR: vol=355914.50 chg=2.29% spr=0.05%
2025-08-26 13:51:33,783 - INFO - AVAX/USD: vol=2642724.39 chg=2.66% spr=0.04%
2025-08-26 13:51:33,783 - INFO - AVAX/USDT: vol=84574.52 chg=2.79% spr=0.08%
2025-08-26 13:51:33,783 - INFO - AXS/EUR: vol=7352.66 chg=4.62% spr=0.10%
2025-08-26 13:51:33,783 - INFO - AXS/USD: vol=46864.10 chg=4.44% spr=0.04%
2025-08-26 13:51:33,783 - INFO - B3/EUR: vol=32.00 chg=-0.04% spr=1.38%
2025-08-26 13:51:33,783 - INFO - B3/USD: vol=4934.29 chg=1.34% spr=1.15%
2025-08-26 13:51:33,783 - INFO - BABY/EUR: vol=208.43 chg=3.05% spr=8.70%
2025-08-26 13:51:33,783 - INFO - BABY/USD: vol=44744.95 chg=5.33% spr=0.20%
2025-08-26 13:51:33,783 - INFO - BADGER/EUR: vol=529.12 chg=-2.15% spr=1.16%
2025-08-26 13:51:33,783 - INFO - BADGER/USD: vol=8715.57 chg=-0.77% spr=0.22%
2025-08-26 13:51:33,783 - INFO - BAL/EUR: vol=1030.28 chg=10.35% spr=4.69%
2025-08-26 13:51:33,783 - INFO - BAL/USD: vol=11624.97 chg=5.57% spr=1.26%
2025-08-26 13:51:33,783 - INFO - BANANAS31/EUR: vol=1604.83 chg=0.52% spr=0.72%
2025-08-26 13:51:33,783 - INFO - BANANAS31/USD: vol=5225.67 chg=1.33% spr=0.15%
2025-08-26 13:51:33,783 - INFO - BAND/EUR: vol=3851.40 chg=-2.51% spr=0.39%
2025-08-26 13:51:33,783 - INFO - BAND/USD: vol=58462.32 chg=-2.38% spr=0.22%
2025-08-26 13:51:33,783 - INFO - BAT/EUR: vol=8224.69 chg=3.63% spr=0.12%
2025-08-26 13:51:33,783 - INFO - BAT/USD: vol=35240.18 chg=4.17% spr=0.06%
2025-08-26 13:51:33,783 - INFO - BCH/AUD: vol=163.15 chg=-0.58% spr=0.44%
2025-08-26 13:51:33,783 - INFO - BCH/ETH: vol=0.21 chg=-5.62% spr=0.85%
2025-08-26 13:51:33,783 - INFO - BCH/EUR: vol=271363.52 chg=-0.97% spr=0.07%
2025-08-26 13:51:33,783 - INFO - BCH/GBP: vol=9782.88 chg=-1.74% spr=0.00%
2025-08-26 13:51:33,783 - INFO - BCH/JPY: vol=800.00 chg=0.00% spr=0.34%
2025-08-26 13:51:33,783 - INFO - BCH/USD: vol=720183.85 chg=-1.26% spr=0.04%
2025-08-26 13:51:33,783 - INFO - BCH/USDT: vol=25736.22 chg=-0.98% spr=0.07%
2025-08-26 13:51:33,783 - INFO - BCH/BTC: vol=2.78 chg=-0.81% spr=0.08%
2025-08-26 13:51:33,783 - INFO - BDXN/EUR: vol=2013.28 chg=3.73% spr=0.22%
